"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL590799";"CAMOSTAT";"CAMOSTAT";"Small molecule";"3";"398.42";"28";"62";"1.39";"134.81";"6";"3";"0";"7";"N";"0.28";"None";"8.54";"1.51";"0.36";"2";"MOL";"0";"29";"9";"4";"0";"398.1590";"BASE";"C20H22N4O5";"CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1";"XASIMHXSUQUHLV-UHFFFAOYSA-N"
"CHEMBL214253";"";"PD-407824";"Small molecule";"0";"328.33";"25";"39";"3.58";"82.19";"3";"3";"0";"1";"N";"0.47";"8.13";"None";"3.15";"3.08";"4";"MOL";"-1";"25";"5";"3";"0";"328.0848";"NEUTRAL";"C20H12N2O3";"O=C1NC(=O)c2c1c(-c1ccccc1)cc1[nH]c3ccc(O)cc3c21";"IAUZTOZLTFSMIE-UHFFFAOYSA-N"
"CHEMBL1200675";"TOREMIFENE CITRATE";"FC-1157A|Fareston|NSC-613680|TOREMIFENE CITRATE";"Small molecule";"4";"598.09";"80";"115";"6.22";"12.47";"2";"0";"1";"9";"N";"0.31";"None";"8.76";"6.27";"4.89";"3";"MOL";"0";"29";"2";"0";"1";"405.1859";"BASE";"C32H36ClNO8";"CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O";"IWEQQRMGNVVKQW-OQKDUQJOSA-N"
"CHEMBL258405";"ICILLIN";"ICILLIN|Icilin";"Small molecule";"3";"311.30";"30";"57";"2.87";"95.71";"4";"2";"0";"3";"N";"0.67";"8.63";"None";"2.17";"2.15";"2";"MOL";"0";"23";"7";"2";"0";"311.0906";"NEUTRAL";"C16H13N3O4";"O=C1NC(c2cccc([N+](=O)[O-])c2)=CCN1c1ccccc1O";"RCEFMOGVOYEGJN-UHFFFAOYSA-N"
"CHEMBL474133";"";"";"Small molecule";"0";"422.48";"9";"26";"5.06";"85.34";"5";"1";"1";"3";"N";"0.64";"None";"1.94";"4.12";"4.12";"3";"MOL";"-1";"32";"5";"2";"1";"422.1630";"NEUTRAL";"C27H22N2O3";"COc1ccc(C2C(C#N)=C(N)OC3=C2C(=O)CC(c2cccc4ccccc24)C3)cc1";"YBMGNDPBARCLFT-UHFFFAOYSA-N"
"CHEMBL575239";"";"";"Small molecule";"0";"142.20";"13";"15";"-0.22";"23.55";"2";"0";"0";"0";"Y";"0.47";"None";"7.21";"-0.74";"-0.95";"0";"MOL";"-1";"10";"3";"0";"0";"142.1106";"NEUTRAL";"C7H14N2O";"CC(=O)N1CCN(C)CC1";"YSDBJKNOEWSFGA-UHFFFAOYSA-N"
"CHEMBL6597";"Ro-154513";"Ro-15-4513";"Small molecule";"0";"326.32";"23";"75";"2.58";"113.19";"6";"0";"0";"3";"N";"0.37";"None";"2.87";"1.67";"1.56";"2";"MOL";"-1";"24";"9";"0";"0";"326.1127";"NEUTRAL";"C15H14N6O3";"CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(N=[N+]=[N-])ccc1-2";"CFSOJZTUTOQNIA-UHFFFAOYSA-N"
"CHEMBL478629";"DORSOMORPHIN";"Dorsomorphin";"Small molecule";"0";"399.50";"261";"755";"4.32";"55.55";"6";"0";"0";"6";"N";"0.48";"None";"8.81";"3.44";"2.02";"4";"MOL";"-1";"30";"6";"0";"0";"399.2059";"BASE";"C24H25N5O";"c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)ccn1";"XHBVYDAKJHETMP-UHFFFAOYSA-N"
"CHEMBL1200436";"OXANDROLONE";"ANAVAR|LONAVAR|NSC-67068|OXANDROLONE|OXANDROLONE CIII|Oxandrin|PROVITAR|SC 11585|SC-11585|VASOROME";"Small molecule";"4";"306.45";"8";"48";"3.54";"46.53";"3";"1";"0";"0";"N";"0.70";"None";"None";"2.95";"2.95";"0";"MOL";"0";"22";"3";"1";"0";"306.2195";"NEUTRAL";"C19H30O3";"C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O";"QSLJIVKCVHQPLV-PEMPUTJUSA-N"
"CHEMBL506871";"VELIPARIB";"ABT-888|PARP-1 INHIBITOR ABT-888|VELIPARIB";"Small molecule";"3";"244.30";"614";"724";"1.26";"83.80";"3";"3";"0";"2";"N";"0.74";"9.73";"9.25";"0.21";"-1.17";"2";"MOL";"0";"18";"5";"4";"0";"244.1324";"BASE";"C13H16N4O";"C[C@]1(c2nc3cccc(C(N)=O)c3[nH]2)CCCN1";"JNAHVYVRKWKWKQ-CYBMUJFWSA-N"
"CHEMBL1096882";"FLUDARABINE PHOSPHATE";"2-F-ARA-AMP|2-F-ARAA|2-FLUORO ARA-A|2-FLUOROVIDARABINE|FLUDARABINE|FLUDARABINE 5'-MONOPHOSPHATE|FLUDARABINE MONOPHOSPHATE|FLUDARABINE PHOSPHATE|FLURADOSA|Fludara|NSC-118218|NSC-118218H|NSC-312887|NSC-328002|OFORTA";"Small molecule";"4";"365.21";"21";"38";"-1.72";"186.07";"10";"5";"0";"4";"N";"0.31";"1.22";"0.59";"-1.97";"-5.12";"2";"MOL";"0";"24";"12";"6";"2";"365.0537";"ACID";"C10H13FN5O7P";"Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O";"GIUYCYHIANZCFB-FJFJXFQQSA-N"
"CHEMBL429298";"";"";"Small molecule";"0";"324.83";"88";"135";"2.48";"49.41";"3";"1";"0";"2";"N";"0.92";"None";"8.04";"2.14";"1.42";"2";"MOL";"-1";"21";"4";"1";"0";"324.0699";"NEUTRAL";"C15H17ClN2O2S";"O=S(=O)(c1cccc2c(Cl)cccc12)N1CCCNCC1";"OZSMSRIUUDGTEP-UHFFFAOYSA-N"
"CHEMBL256997";"ATALUREN";"ATALUREN|PTC-124|PTC124|TRANSLARNA";"Small molecule";"4";"284.25";"26";"104";"3.24";"76.22";"4";"1";"0";"3";"N";"0.80";"3.90";"None";"3.92";"0.68";"3";"MOL";"0";"21";"5";"1";"0";"284.0597";"ACID";"C15H9FN2O3";"O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1";"OOUGLTULBSNHNF-UHFFFAOYSA-N"
"CHEMBL2023898";"DACLATASVIR";"BMS 790052|BMS-790052|DACLATASVIR|DAKLINZA|EBP 883|EBP-883";"Small molecule";"4";"738.89";"33";"249";"6.22";"174.64";"8";"4";"2";"11";"N";"0.14";"11.15";"6.09";"4.18";"4.16";"4";"MOL";"0";"54";"14";"4";"3";"738.3853";"NEUTRAL";"C40H50N8O6";"COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)cc3)cc2)[nH]1)C(C)C";"FKRSSPOQAMALKA-CUPIEXAXSA-N"
"CHEMBL1029";"MIGLUSTAT";"BUTYLDEOXYNOJIRIMYCIN|MIGLUSTAT|N-BUTYLDEOXYNOJIRIMYCIN|OGT 918|OGT-918|Zavesca";"Small molecule";"4";"219.28";"54";"216";"-1.45";"84.16";"5";"4";"0";"4";"N";"0.46";"12.90";"8.49";"-1.18";"-2.30";"0";"MOL";"0";"15";"5";"4";"0";"219.1471";"NEUTRAL";"C10H21NO4";"CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO";"UQRORFVVSGFNRO-UTINFBMNSA-N"
"CHEMBL255787";"";"A-740003";"Small molecule";"0";"474.57";"13";"49";"3.82";"120.66";"6";"3";"0";"7";"N";"0.21";"12.46";"4.35";"4.08";"4.08";"3";"MOL";"-1";"35";"9";"3";"0";"474.2379";"NEUTRAL";"C26H30N6O3";"COc1ccc(CC(=O)NC(N/C(=N/C#N)Nc2cccc3ncccc23)C(C)(C)C)cc1OC";"PUHSRMSFDASMAE-UHFFFAOYSA-N"
"CHEMBL24850";"";"";"Small molecule";"0";"267.28";"88";"93";"3.45";"62.32";"2";"2";"0";"4";"N";"0.76";"3.60";"None";"3.22";"-0.13";"3";"MOL";"-1";"20";"4";"2";"0";"267.0895";"ACID";"C16H13NO3";"O=C(O)c1cc2cc(OCc3ccccc3)ccc2[nH]1";"MVCLSAMNMAWXFQ-UHFFFAOYSA-N"
"CHEMBL1616414";"RESAZURIN";"";"Small molecule";"0";"229.19";"61";"62";"1.24";"77.38";"4";"1";"0";"0";"N";"0.36";"4.73";"None";"-1.45";"-0.11";"1";"MOL";"-1";"17";"5";"1";"0";"229.0375";"ACID";"C12H7NO4";"O=c1ccc2[n+]([O-])c3ccc(O)cc3oc-2c1";"PLXBWHJQWKZRKG-UHFFFAOYSA-N"
"CHEMBL257119";"";"NSC-23766";"Small molecule";"0";"421.59";"5";"19";"4.89";"91.99";"7";"3";"0";"10";"N";"0.43";"None";"10.34";"3.55";"-0.82";"3";"MOL";"-1";"31";"7";"4";"0";"421.2954";"BASE";"C24H35N7";"CCN(CC)CCCC(C)Nc1nc(C)cc(Nc2ccc3nc(C)cc(N)c3c2)n1";"DEFBCZWQLILOJF-UHFFFAOYSA-N"
"CHEMBL2169919";"";"";"Small molecule";"0";"539.68";"17";"67";"2.85";"150.79";"9";"5";"1";"9";"N";"0.26";"12.45";"8.63";"2.74";"1.43";"3";"MOL";"-1";"39";"11";"6";"3";"539.3220";"BASE";"C28H41N7O4";"CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2ccc3c(N)ncnc32)[C@H](O)[C@@H]1O";"WXRGFPHDRFQODR-ICLZECGLSA-N"
"CHEMBL1200641";"CISATRACURIUM BESYLATE";"51 W89|51-W-89|51-W89|51W-89|51W89|CISATRACURIUM (AS BESILATE)|CISATRACURIUM BESILATE|CISATRACURIUM BESYLATE|CISATRACURIUM BESYLATE PRESERVATIVE FREE|NIMBEX PRESERVATIVE FREE|Nimbex";"Small molecule";"4";"1243.50";"10";"13";"8.07";"126.44";"12";"0";"3";"24";"N";"0.04";"None";"None";"-0.96";"-0.96";"4";"MOL";"0";"67";"14";"0";"3";"928.5074";"NEUTRAL";"C65H82N2O18S2";"COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]2(C)CCc3cc(OC)c(OC)cc3[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC.O=S(=O)([O-])c1ccccc1.O=S(=O)([O-])c1ccccc1";"XXZSQOVSEBAPGS-DONVQRBFSA-L"
"CHEMBL1616";"APOMORPHINE HYDROCHLORIDE";"APO-GO|APO-GO PEN|APO-GO PFS|APOKINON|APOMINE|APOMORPH HCL|APOMORPHINE HCL|APOMORPHINE HYDROCHLORIDE|APOMORPHINE HYDROCHLORIDE HEMIHYDRATE|APOMORPHINE HYDROCHLORIDE HYDRATE|APOMORPHINUM MURIATICUM|Apokyn|Apomorphine Hydrochloride|BRITAJECT|Bromophin|DACEPTON|DIAGESIL|DIAMORPH HCL|DIAMORPH ROCHE|DIAMORPH,COCAINE,CHLORPROMAZINE|DIAMORPHINE HYDROCHLORIDE |DIAPHINE|Euphorin|IXENSE|KW-6500|KYNMOBI|NSC-11442|NSC-755875|TALUVIAN|UPRIMA";"Small molecule";"4";"303.79";"18";"47";"2.85";"43.70";"3";"2";"0";"0";"Y";"0.72";"9.26";"7.72";"2.88";"2.58";"2";"MOL";"0";"20";"3";"2";"0";"267.1259";"NEUTRAL";"C17H18ClNO2";"CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3.Cl";"SKYZYDSNJIOXRL-BTQNPOSSSA-N"
"CHEMBL2146123";"METHACYCLINE HYDROCHLORIDE";"METACYCLINE HYDROCHLORIDE|METHACYCLINE HCL|METHACYCLINE HYDROCHLORIDE|NSC-356465|NSC-757835|Rondomycin";"Small molecule";"4";"478.89";"47";"92";"-0.44";"181.62";"9";"6";"1";"2";"N";"0.33";"2.88";"7.41";"-3.51";"-3.81";"1";"MOL";"0";"32";"10";"7";"1";"442.1376";"ACID";"C22H23ClN2O8";"C=C1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12.Cl";"VZQARNDJLLWXGL-CCHMMTNSSA-N"
"CHEMBL1200773";"TOCAINIDE HYDROCHLORIDE";"TOCAINIDE HCL|TOCAINIDE HYDROCHLORIDE|TOCAINIDE MONOHYDROCHLORIDE|Tonocard|XYLOTOCAN";"Small molecule";"4";"228.72";"6";"23";"1.59";"55.12";"2";"2";"0";"2";"Y";"0.75";"13.65";"8.23";"1.88";"1.00";"1";"MOL";"0";"14";"3";"3";"0";"192.1263";"NEUTRAL";"C11H17ClN2O";"Cc1cccc(C)c1NC(=O)C(C)N.Cl";"AMZACPWEJDQXGW-UHFFFAOYSA-N"
"CHEMBL149082";"TRAMIPROSATE";"3-AMINOPROPANE SULFONIC ACID|ACAMPROSATE RELATED COMPOUND A|NC-758|NSC-77071|TRAMIPROSATE";"Small molecule";"3";"139.18";"18";"40";"-0.78";"80.39";"3";"2";"0";"3";"N";"0.50";"-0.99";"10.19";"-2.55";"-2.56";"0";"MOL";"0";"8";"4";"3";"0";"139.0303";"ZWITTERION";"C3H9NO3S";"NCCCS(=O)(=O)O";"SNKZJIOFVMKAOJ-UHFFFAOYSA-N"
"CHEMBL1200961";"BROMPHENIRAMINE MALEATE";"(+)-Brompheniramine Maleate|BROMPHENIRAMINE MALEATE|Brompheniramine fumarate|DIMEGAN|DIMETANE-TEN|DIMOTANE|DIMOTANE L.A.|Dimetane|NSC-758652|PARABROMDYLAMINE MALEATE";"Small molecule";"4";"435.32";"24";"50";"3.93";"16.13";"2";"0";"0";"5";"N";"0.83";"None";"9.48";"3.75";"1.68";"2";"MOL";"0";"19";"2";"0";"0";"318.0732";"BASE";"C20H23BrN2O4";"CN(C)CCC(c1ccc(Br)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O";"SRGKFVAASLQVBO-BTJKTKAUSA-N"
"CHEMBL1200927";"DEXCHLORPHENIRAMINE MALEATE";"CHLORPHENIRAMINE D-FORM MALEATE|CHLORPHENIRAMINE MALEATE, (S)-|D-CHLORPHENIRAMINE MALEATE|DEXCHLORPHENIRAMINE MALEATE|Mylaramine|NSC-759156|Polaramine";"Small molecule";"4";"390.87";"24";"61";"3.82";"16.13";"2";"0";"0";"5";"N";"0.82";"None";"9.47";"3.58";"1.52";"2";"MOL";"0";"19";"2";"0";"0";"274.1237";"BASE";"C20H23ClN2O4";"CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O";"DBAKFASWICGISY-DASCVMRKSA-N"
"CHEMBL351769";"ARSANILIC ACID";"Arsanilic acid";"Small molecule";"0";"217.06";"77";"88";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"None";"None";"216.9720";"None";"C6H8AsNO3";"Nc1ccc([As](=O)(O)O)cc1";"XKNKHVGWJDPIRJ-UHFFFAOYSA-N"
"CHEMBL589092";"FENTIAZAC";"FENTIAZAC|NSC-282191|WY-21,894|WY-21894";"Small molecule";"0";"329.81";"11";"42";"4.76";"50.19";"3";"1";"0";"4";"N";"0.75";"4.82";"1.30";"5.06";"2.53";"3";"MOL";"0";"22";"3";"1";"0";"329.0277";"ACID";"C17H12ClNO2S";"O=C(O)Cc1sc(-c2ccccc2)nc1-c1ccc(Cl)cc1";"JIEKMACRVQTPRC-UHFFFAOYSA-N"
"CHEMBL1528011";"PRIDINOL METHANESULFONATE";"";"Small molecule";"0";"391.53";"19";"33";"3.80";"23.47";"2";"1";"0";"5";"N";"0.91";"13.36";"9.34";"3.70";"1.77";"2";"MOL";"-1";"22";"2";"1";"0";"295.1936";"BASE";"C21H29NO4S";"CS(=O)(=O)O.OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1";"VNJHUUNVDMYCRH-UHFFFAOYSA-N"
"CHEMBL1315492";"ALTRENOGEST";"A-35957|ALLYLTRENBOLONE|ALTRENOGEST|NSC-759180|REGU-MATE|RU-2267";"Small molecule";"0";"310.44";"7";"19";"4.28";"37.30";"2";"1";"0";"2";"N";"0.77";"None";"None";"3.20";"3.20";"0";"MOL";"0";"23";"2";"1";"0";"310.1933";"NEUTRAL";"C21H26O2";"C=CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21C";"VWAUPFMBXBWEQY-ANULTFPQSA-N"
"CHEMBL473659";"GINSENOSIDE RD";"CHIKUSETSUSAPONIN FK7|GINSENOSIDE RD|GYPENOSIDE VIII";"Small molecule";"3";"947.17";"18";"33";"-0.03";"298.14";"18";"12";"3";"13";"N";"0.09";"11.85";"None";"0.22";"0.22";"0";"MOL";"0";"66";"18";"12";"3";"946.5501";"NEUTRAL";"C48H82O18";"CC(C)=CCC[C@](C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C";"RLDVZILFNVRJTL-IWFVLDDISA-N"
"CHEMBL1201002";"CARTEOLOL HYDROCHLORIDE";"ABBOTT-43326|CARTEOLOL HCL|CARTEOLOL HYDROCHLORIDE|Cartrol|NSC-300906|OPC-1085|Ocupress|TEOPTIC";"Small molecule";"4";"328.84";"5";"13";"1.70";"70.59";"4";"3";"0";"5";"N";"0.77";"13.41";"9.76";"1.42";"-0.89";"1";"MOL";"0";"21";"5";"3";"0";"292.1787";"BASE";"C16H25ClN2O3";"CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2.Cl";"FYBXRCFPOTXTJF-UHFFFAOYSA-N"
"CHEMBL1086440";"TRICLABENDAZOLE";"EGA230B|EGATEN|EGATEN TM|FASINEX|NSC-759250|NVP-EGA230|TRICLABENDAZOLE";"Small molecule";"4";"359.67";"48";"121";"6.04";"37.91";"3";"1";"1";"3";"N";"0.58";"10.31";"4.39";"5.88";"5.88";"3";"MOL";"0";"21";"3";"1";"1";"357.9501";"NEUTRAL";"C14H9Cl3N2OS";"CSc1nc2cc(Cl)c(Oc3cccc(Cl)c3Cl)cc2[nH]1";"NQPDXQQQCQDHHW-UHFFFAOYSA-N"
"CHEMBL493636";"SULFANITRAN";"NSC-217299|NSC-77120|SULFANITRAN";"Small molecule";"0";"335.34";"18";"31";"2.35";"118.41";"5";"2";"0";"5";"N";"0.64";"7.44";"None";"1.64";"1.40";"2";"MOL";"0";"23";"8";"2";"0";"335.0576";"NEUTRAL";"C14H13N3O5S";"CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc([N+](=O)[O-])cc2)cc1";"GWBPFRGXNGPPMF-UHFFFAOYSA-N"
"CHEMBL2105534";"ZOLIMIDINE";"SOLIMIDIN|ZOLIMIDINE|ZOLIRIDINE";"Small molecule";"0";"272.33";"3";"13";"2.40";"51.44";"4";"0";"0";"2";"N";"0.72";"None";"5.38";"1.63";"1.63";"3";"MOL";"0";"19";"4";"0";"0";"272.0619";"NEUTRAL";"C14H12N2O2S";"CS(=O)(=O)c1ccc(-c2cn3ccccc3n2)cc1";"VSLIUWLPFRVCDL-UHFFFAOYSA-N"
"CHEMBL190333";"RWJ-67657";"RWJ-67657";"Small molecule";"1";"425.51";"22";"63";"5.12";"50.94";"4";"1";"1";"7";"N";"0.42";"None";"4.89";"5.43";"5.43";"4";"MOL";"0";"32";"4";"1";"1";"425.1903";"NEUTRAL";"C27H24FN3O";"OCCC#Cc1nc(-c2ccc(F)cc2)c(-c2ccncc2)n1CCCc1ccccc1";"QSUSKMBNZQHHPA-UHFFFAOYSA-N"
"CHEMBL1201023";"ORPHENADRINE HYDROCHLORIDE";"BIORPHEN|DISIPAL|MEPHENAMIN|NSC-82357|ORPHENADRINE (CHLORIDE)|ORPHENADRINE HCL|ORPHENADRINE HYDROCHLORIDE|Orphenadrine (Chloride)";"Small molecule";"4";"305.85";"22";"40";"3.66";"12.47";"2";"0";"0";"6";"N";"0.79";"None";"8.87";"4.17";"2.69";"2";"MOL";"0";"20";"2";"0";"0";"269.1780";"BASE";"C18H24ClNO";"Cc1ccccc1C(OCCN(C)C)c1ccccc1.Cl";"UQZKYYIKWZOKKD-UHFFFAOYSA-N"
"CHEMBL1369924";"";"";"Small molecule";"0";"328.37";"11";"15";"4.42";"55.13";"3";"1";"0";"4";"N";"0.60";"None";"2.18";"4.02";"4.02";"4";"MOL";"-1";"25";"4";"1";"0";"328.1212";"NEUTRAL";"C21H16N2O2";"O=C(NCc1ccco1)c1cc(-c2ccccc2)nc2ccccc12";"OYHXBMMYGNHLIE-UHFFFAOYSA-N"
"CHEMBL1162496";"3-HYDROXYBUTYRIC ACID, (+/-)-";"3-HYDROXYBUTYRIC ACID, (+/-)-|3-Hydroxybutanoate|BETA-HYDROXY-BUTYRATE|BETA-HYDROXYBUTYRATE|D,L-3 HYDROXYBUTYRATE|HYDROXYBUTYRIC ACID, DL-|NSC-3806";"Small molecule";"1";"104.10";"12";"22";"-0.16";"57.53";"2";"2";"0";"2";"Y";"0.51";"4.41";"None";"-0.39";"-3.27";"0";"MOL";"0";"7";"3";"2";"0";"104.0473";"ACID";"C4H8O3";"CC(O)CC(=O)O";"WHBMMWSBFZVSSR-UHFFFAOYSA-N"
"CHEMBL318191";"TONABERSAT";"SB-220453|TONABERSAT";"Small molecule";"2";"391.83";"4";"13";"3.68";"75.63";"4";"2";"0";"3";"N";"0.78";"12.39";"None";"2.87";"2.87";"2";"MOL";"0";"27";"5";"2";"0";"391.0987";"NEUTRAL";"C20H19ClFNO4";"CC(=O)c1ccc2c(c1)[C@H](NC(=O)c1ccc(F)c(Cl)c1)[C@H](O)C(C)(C)O2";"XLIIRNOPGJTBJD-ROUUACIJSA-N"
"CHEMBL569766";"";"";"Small molecule";"0";"412.28";"10";"52";"5.21";"47.56";"4";"1";"1";"2";"N";"0.54";"None";"1.89";"3.94";"3.94";"2";"MOL";"-1";"26";"4";"1";"1";"411.0470";"NEUTRAL";"C21H18BrNO3";"CC(=O)c1ccc2c(c1)[C@@H]1C=CC[C@@H]1[C@H](c1cc3c(cc1Br)OCO3)N2";"VHSVKVWHYFBIFJ-HKZYLEAXSA-N"
"CHEMBL1170";"TESTOSTERONE PROPIONATE";"NRB-03689|NSC-9166|ORCHISTERONE|TESTOSTERON 17-PROPIONATE|TESTOSTERONE 17.BETA.-PROPIONATE|TESTOSTERONE PROPIONATE|TESTOSTERONE PROPIONATE CIII|TESTOSTERONI PROPIONAS|Testosterone Propionate|VIRORMONE";"Small molecule";"4";"344.50";"36";"152";"4.84";"43.37";"3";"0";"0";"2";"N";"0.67";"None";"None";"4.51";"4.51";"0";"MOL";"0";"25";"3";"0";"0";"344.2351";"NEUTRAL";"C22H32O3";"CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C";"PDMMFKSKQVNJMI-BLQWBTBKSA-N"
"CHEMBL487";"DROLOXIFENE";"3-HYDROXYTAMOXIFEN|DROLOXIFENE|Droloxifene|E-Droloxifene|FK-435|K-060|K-21060E|K060|K060E";"Small molecule";"3";"387.52";"10";"37";"5.70";"32.70";"3";"1";"1";"8";"N";"0.50";"9.43";"8.66";"5.69";"4.67";"3";"MOL";"0";"29";"3";"1";"1";"387.2198";"BASE";"C26H29NO2";"CC/C(=C(/c1ccc(OCCN(C)C)cc1)c1cccc(O)c1)c1ccccc1";"ZQZFYGIXNQKOAV-OCEACIFDSA-N"
"CHEMBL2178578";"VERCIRNON";"CCX-282-B|CCX282|GSK-1605786|GSK1605786|VERCIRNON|Vercirnon|Verecimon|vercirnon";"Small molecule";"3";"444.94";"11";"44";"4.30";"90.18";"4";"1";"0";"5";"N";"0.36";"7.30";"0.50";"3.59";"3.30";"3";"MOL";"0";"30";"6";"1";"0";"444.0911";"NEUTRAL";"C22H21ClN2O4S";"CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cc[n+]([O-])cc2)cc1";"JRWROCIMSDXGOZ-UHFFFAOYSA-N"
"CHEMBL4077071";"";"";"Small molecule";"0";"431.50";"20";"49";"2.42";"117.86";"7";"4";"0";"6";"N";"0.37";"12.87";"7.93";"3.42";"2.78";"4";"MOL";"-1";"32";"10";"4";"0";"431.2182";"NEUTRAL";"C22H25N9O";"CN1CCN(Cc2ccc(NC(=O)c3n[nH]cc3Nc3ncnc4[nH]ccc34)cc2)CC1";"VXLAKHWYGRKCGI-UHFFFAOYSA-N"
"CHEMBL3774655";"";"";"Small molecule";"0";"468.59";"14";"57";"4.22";"60.47";"6";"0";"0";"7";"N";"0.61";"None";"8.86";"3.22";"1.75";"2";"MOL";"-1";"34";"7";"0";"0";"468.2624";"BASE";"C27H36N2O5";"CCC(=O)N1CCOc2c(cc(-c3ccc(OC)c(OC)c3)cc2OC[C@H]2CCCN(C)C2)C1";"YKNAKDFZAWQEEO-IBGZPJMESA-N"
"CHEMBL1800807";"ANACETRAPIB";"ANACETRAPIB|MK-0859|MK0859";"Small molecule";"3";"637.51";"21";"108";"9.76";"38.77";"3";"0";"2";"6";"N";"0.25";"None";"None";"9.30";"9.30";"3";"MOL";"0";"44";"4";"0";"2";"637.1675";"NEUTRAL";"C30H25F10NO3";"COc1cc(F)c(C(C)C)cc1-c1ccc(C(F)(F)F)cc1CN1C(=O)O[C@H](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@@H]1C";"MZZLGJHLQGUVPN-HAWMADMCSA-N"
"CHEMBL1200622";"PARICALCITOL";"COMPOUND 49510|COMPOUND-49510|PARICALCITOL|Zemplar";"Small molecule";"4";"416.65";"10";"42";"5.56";"60.69";"3";"3";"1";"5";"N";"0.51";"None";"None";"4.26";"4.26";"0";"MOL";"0";"30";"3";"3";"1";"416.3290";"NEUTRAL";"C27H44O3";"C[C@@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2/C(=C/C=C3C[C@@H](O)C[C@H](O)C3)CCC[C@@]21C)C(C)(C)O";"BPKAHTKRCLCHEA-UBFJEZKGSA-N"
"CHEMBL1637";"GEMCITABINE HYDROCHLORIDE";"GEMCITABINE (AS HYDROCHLORIDE)|GEMCITABINE HCL|GEMCITABINE HYDROCHLORIDE|Gemzar|INFUGEM|LY-188011|LY-188011 HYDROCHLORIDE|LY188011 HYDROCHLORIDE";"Small molecule";"4";"299.66";"20";"57";"-1.29";"110.60";"7";"3";"0";"2";"N";"0.61";"11.52";"None";"-1.47";"-1.47";"1";"MOL";"0";"18";"7";"4";"0";"263.0718";"NEUTRAL";"C9H12ClF2N3O4";"Cl.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1";"OKKDEIYWILRZIA-OSZBKLCCSA-N"
