"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL100259";"URIDINE";"1-.BETA.-D-RIBOFURANOSYLURACIL|NSC-20256|URACIL RIBOSIDE|URIDINE";"Small molecule";"3";"244.20";"37";"78";"-2.85";"124.78";"7";"4";"0";"2";"N";"0.44";"9.70";"None";"-2.42";"-2.42";"1";"MOL";"0";"17";"8";"4";"0";"244.0695";"NEUTRAL";"C9H12N2O6";"O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1";"DRTQHJPVMGBUCF-XVFCMESISA-N"
"CHEMBL32854";"";"";"Small molecule";"0";"343.42";"3";"7";"4.05";"79.55";"4";"1";"0";"5";"N";"0.87";"2.33";"None";"3.90";"0.38";"1";"MOL";"-1";"25";"5";"1";"0";"343.1784";"ACID";"C20H25NO4";"COc1ccc(C2(C#N)CCC(C(=O)O)CC2)cc1OC1CCCC1";"CFBUZOUXXHZCFB-UHFFFAOYSA-N"
"CHEMBL364713";"NOSCAPINE";"(-)-.ALPHA.-NARCOTINE|(-)-NARCOTINE|METHOXYHYDRASTINE|NARCOTINE|NARCOTINUM|NOSCAPINE|NOSCAPINUM|NSC-5366|Tusscapine";"Small molecule";"4";"413.43";"216";"660";"2.88";"75.69";"8";"0";"0";"4";"N";"0.71";"13.07";"7.14";"2.58";"2.39";"2";"MOL";"0";"30";"8";"0";"0";"413.1475";"NEUTRAL";"C22H23NO7";"COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C";"AKNNEGZIBPJZJG-MSOLQXFVSA-N"
"CHEMBL3765016";"";"";"Small molecule";"0";"409.49";"3";"4";"3.35";"71.11";"5";"1";"0";"4";"N";"0.84";"13.05";"5.04";"3.18";"3.18";"2";"MOL";"-1";"30";"7";"1";"0";"409.2002";"NEUTRAL";"C23H27N3O4";"CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN1CCOCC1)c1ccccc1CC2";"YNMAFZQUPFGSSM-UHFFFAOYSA-N"
"CHEMBL4212818";"";"";"Small molecule";"0";"353.83";"13";"28";"4.97";"46.40";"4";"1";"0";"3";"N";"0.56";"None";"4.26";"4.35";"4.35";"4";"MOL";"-1";"24";"4";"1";"0";"353.0390";"NEUTRAL";"C18H12ClN3OS";"O=C(Nc1c(-c2cccs2)nc2ccccn12)c1ccc(Cl)cc1";"AZKMWHRDICVYEI-UHFFFAOYSA-N"
"CHEMBL4303625";"";"";"Small molecule";"0";"461.54";"15";"46";"4.26";"102.16";"6";"1";"0";"7";"N";"0.44";"12.94";"4.82";"3.34";"3.34";"4";"MOL";"-1";"33";"7";"1";"0";"461.1409";"NEUTRAL";"C25H23N3O4S";"Cc1ccc(S(=O)(=O)Cc2nc(-c3ccc(C(=O)NCc4cccnc4)cc3)oc2C)cc1";"DLFCEZOMHBPDGI-UHFFFAOYSA-N"
"CHEMBL924";"ZOLEDRONIC ACID";"ACLASTA|AK-156|ANHYDROUS ZOLEDRONIC ACID|CGP 42446|CGP-42446|CGP-42446A|NSC-721517|Reclast|ZERLINDA|ZOLADRONA ACID MYLAN|ZOLEDRONATE|ZOLEDRONATE HYDRATE|ZOLEDRONIC|ZOLEDRONIC ACID|ZOLEDRONIC ACID ACCORD|ZOLEDRONIC ACID ANHYDROUS|ZOLEDRONIC ACID HYDRATE|ZOLEDRONIC ACID MEDAC|ZOLEDRONIC ACID MONOHYDRATE|ZOLEDRONIC ACID TEVA|ZOMETA|Zometa";"Small molecule";"4";"272.09";"65";"250";"-1.12";"153.11";"5";"5";"0";"4";"N";"0.43";"0.66";"6.67";"-3.85";"-7.39";"1";"MOL";"0";"16";"9";"5";"0";"271.9963";"ACID";"C5H10N2O7P2";"O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O";"XRASPMIURGNCCH-UHFFFAOYSA-N"
"CHEMBL3183453";"NOVOBIOCIN SODIUM";"Albamycin|NOVOBIOCIN MONOSODIUM SALT|NOVOBIOCIN SODIUM|NOVOBIOCIN, MONOSODIUM SALT|NSC-2382|SODIUM NOVOBIOCIN|Spheromycin|Vulcamycin";"Small molecule";"4";"634.61";"5";"11";"3.63";"200.01";"11";"5";"2";"8";"N";"0.18";"5.51";"None";"3.26";"1.36";"3";"MOL";"0";"44";"13";"6";"3";"612.2319";"ACID";"C31H35N2NaO11";"CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c([O-])c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C.[Na+]";"WWPRGAYLRGSOSU-RNROJPEYSA-M"
"CHEMBL1231132";"";"";"Small molecule";"0";"478.88";"13";"20";"3.13";"103.78";"5";"2";"0";"5";"N";"0.69";"9.44";"None";"2.85";"2.85";"2";"MOL";"-1";"31";"7";"2";"0";"478.0577";"NEUTRAL";"C19H18ClF3N2O5S";"CN(C)C(=O)c1ccc(S(=O)(=O)c2ccc(NC(=O)[C@@](C)(O)C(F)(F)F)c(Cl)c2)cc1";"DTDZLJHKVNTQGZ-GOSISDBHSA-N"
"CHEMBL1200645";"ETOPOSIDE PHOSPHATE";"BMY 40481|BMY-40481|ETOPOPHOS PRESERVATIVE FREE|ETOPOSIDE PHOSPHATE|Etopophos|VEPESIDE|VP-16|VP16";"Small molecule";"4";"668.54";"6";"9";"1.10";"207.36";"14";"4";"2";"7";"N";"0.24";"1.46";"None";"0.51";"-2.86";"2";"MOL";"0";"46";"16";"4";"2";"668.1506";"ACID";"C29H33O16P";"COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OP(=O)(O)O";"LIQODXNTTZAGID-OCBXBXKTSA-N"
